	400_vs_60k_in_HPLM_fc	400_vs_60k_in_HPLM_p	400_vs_60k_in_DMEM_fc	400_vs_60k_in_DMEM_p	400_vs_60k_in_HPLM_15mM_Glucose_fc	400_vs_60k_in_HPLM_15mM_Glucose_p	400_vs_60k_in_DMEM_15mM_Glucose_fc	400_vs_60k_in_DMEM_15mM_Glucose_p	60k_HPLM_vs_DMEM_fc	60k_HPLM_vs_DMEM_p	400_HPLM_vs_DMEM_fc	400_HPLM_vs_DMEM_p	60k_HPLM_vs_DMEM_15mM_Glucose_fc	60k_HPLM_vs_DMEM_15mM_Glucose_p	400_HPLM_vs_DMEM_15mM_Glucose_fc	400_HPLM_vs_DMEM_15mM_Glucose_p
Hypoxanthine	1.28870255	0.007135157	3.166934992	0.000453033	1.179666174	0.005140996	4.343591489	0.000682931	9.769008574	0.023876891	7.890776133	0.007674264	8.895091672	0.028088809	5.731166356	0.003839806
myo-Inositol	0.417878542	0.008253093	0.076973556	0.632489462	0.374309837	0.008310743	0.082944728	0.366626699	1.094369458	0.004018977	1.435274444	0.000191466	0.967708501	0.000276999	1.25907361	0.000593936
Lactate	0.817426244	0.000836854	0.892174828	0.000284144	0.826805552	0.013307947	1.107647096	0.000985198	3.246703134	0.001774925	3.171954549	0.001381451	2.962640717	5.68E-07	2.681799173	0.003374915
Leucine	0.528719652	0.002388042	0.834382576	0.000356351	0.730763619	0.000249637	0.847726901	0.002888578	-1.599672592	0.0002076	-1.905335517	0.000230669	-1.149846448	2.18E-05	-1.26680973	0.001511497
L-Lysine	0.988415379	0.003032761	1.278813714	9.29E-05	1.088908604	0.000611866	1.310586108	0.000274928	-1.608676952	0.000158773	-1.899075287	2.42E-05	-1.384528389	9.07E-05	-1.606205893	6.52E-05
Malate	-0.146688938	0.109562253	-0.737098092	0.014036739	-0.174170358	0.102896323	-0.817022122	0.004044132	0.598575169	0.002067779	1.188984322	0.003643568	0.217620048	0.062571054	0.860471812	0.003885155
L-Methionine	0.60402062	2.01E-06	0.930854393	0.001354487	0.694156005	3.28E-06	0.957074394	0.000330541	-2.257947445	2.79E-05	-2.584781218	0.000564527	-2.138620475	0.000524553	-2.401538864	2.38E-10
NADH	-1.060024125	0.003316404	-1.302863407	0.006408877	-0.920598899	0.015590848	-1.675530622	0.002855056	0.108307876	0.23468354	0.351147158	0.089791112	-0.204499903	0.291702642	0.550431819	0.087136288
NADPH	-1.070621475	0.053955545	-0.543069245	0.219008683	-1.11162615	0.173505742	-1.504434942	0.025372333	0.808095495	0.215880959	0.280543264	0.14647165	-0.73544184	0.089306698	-0.342633047	0.31085823
Niacinamide	0.540155113	0.000420735	0.766643132	0.00070575	0.635020783	0.002682058	0.831249861	4.23E-05	-1.407373737	0.000846653	-1.633861756	0.001091628	-1.194634455	0.001434663	-1.390863533	5.37E-06
Ornithine	1.037511829	0.003527421	1.151310029	0.02124241	1.079868969	0.000861536	1.425036742	0.018638292	3.01189132	0.003160368	2.89809312	0.002455575	3.13836449	0.00964715	2.793196718	0.001072628
